Epoch	MAP	MRR
1	0.6393748635462266	0.6469526281455964
2	0.6373497327220765	0.6462356647360278
3	0.6180961438292877	0.6256911180137681
4	0.6584581436634576	0.6705806596238694
5	0.6708121816367527	0.6850714060409049
6	0.6770329012102988	0.6896566927249569
7	0.6738971402610227	0.6876489687243423
8	0.662871594956266	0.6785616304134825
9	0.6654381344981144	0.6806059281367925
10	0.6575353585599115	0.6721290369438517
11	0.65252863223461	0.6666104393524798
12	0.6526455506385654	0.6669973638134783
13	0.6445482610993061	0.6584457245519623
14	0.650420213578347	0.663065725393249
15	0.6518344874617565	0.6645897386456572
16	0.6505499645519902	0.6631505892695359
17	0.6497290509974452	0.6629502257182569
18	0.6448145647759275	0.6595926208174422
19	0.6366212444906258	0.6513064967905772
20	0.6367237275936103	0.6508920050180608
21	0.6434940198780352	0.6557080015981898
22	0.6415061303219195	0.6510939220815762
23	0.6439165435916572	0.6524973597504461
24	0.6388106792466623	0.6466036685741038
25	0.636423114456979	0.6438083859767153
26	0.6306949931605934	0.636544536428915
27	0.6254945190718659	0.6325074763934652
28	0.624718293411381	0.6294865261502927
29	0.6173240755800714	0.6224403470543677
30	0.6124200119388932	0.6175443612172005
31	0.6122088526796509	0.617659807222835
32	0.6095093573875631	0.6136011560781272
33	0.6092258462834275	0.6127652978348617
34	0.6063604532510046	0.6110858661554299
35	0.6094274003787439	0.6146222210238187
36	0.6092470785141734	0.6139614925060021
37	0.6060878006635374	0.6113159898604993
38	0.6012656216332687	0.6058524854203868
39	0.5981862299011664	0.602790052038576
40	0.5867844232813371	0.5920989961113419
41	0.5853261307736618	0.5913608682127202
42	0.5805568773932975	0.5856436430510507
43	0.5813877723214147	0.5864617892395672
44	0.5797316639155785	0.583585577659652
45	0.5795367865535184	0.5824330036675719
46	0.5807090975049067	0.5833291847132005
47	0.5807728883094381	0.5833439847280005
48	0.5717030601038073	0.5739459182311684
49	0.5754702005993428	0.5776640679369724
50	0.5667053033362324	0.5694704700877541
