Epoch	MAP	MRR
1	0.6377207237566477	0.6457426715162496
2	0.6424724306688483	0.6504143601385556
3	0.6365445451113332	0.6452523639271768
4	0.6417037149309969	0.6510041338764775
5	0.6369234072185902	0.6449110614253802
6	0.6358719895005058	0.643859643707296
7	0.6358719895005058	0.643859643707296
8	0.6358719895005058	0.643859643707296
9	0.6358719895005058	0.643859643707296
10	0.6358719895005058	0.643859643707296
11	0.639286544766913	0.6469312634455824
12	0.6408852775384855	0.6486279777966177
13	0.6386386598779246	0.6475301541860856
14	0.6410923276093697	0.6481024271349015
15	0.6362001250138266	0.6438448436924961
16	0.6398546894708601	0.6473850963068227
17	0.634377267944056	0.6404247384205389
18	0.6382596624128701	0.6466684489852371
19	0.6391707352556786	0.6466782797230997
20	0.6378999569605722	0.6459398680097423
21	0.6455404413372869	0.6519877484221837
22	0.6376466894233539	0.6456343436301439
23	0.638667283517659	0.6447841176437523
24	0.6321715216206628	0.6379184752842831
25	0.6400057998253111	0.649294787586521
26	0.6392868685508244	0.6473069948579876
27	0.6259208903135919	0.6337190506580486
28	0.6443416430861962	0.6587706851232632
29	0.6518337929005811	0.6634483560227933
30	0.6582253334923758	0.6703034162910707
31	0.6607947890710908	0.6744850771085341
32	0.6526162649203442	0.664140123708025
33	0.6527157927023339	0.6649608524426971
34	0.6649137561327155	0.676073261623944
35	0.6699684388901653	0.6828597687984036
36	0.6610145424544245	0.6736666340061404
37	0.6744543719436366	0.6870796441784097
38	0.6594398026080796	0.6712067938919791
39	0.6772378653135497	0.690025623667599
40	0.6624029591024634	0.677712989423229
41	0.6641673966875256	0.6785064044323305
42	0.6706253510074988	0.6831688430453864
43	0.6703796983319262	0.6852517852517855
44	0.6678052300139936	0.6810898366272368
45	0.65998512205772	0.6766785455057062
46	0.6600750412834419	0.6737506320839654
47	0.6571581679190376	0.6683988051272002
48	0.6505449936796832	0.6667356991431066
49	0.6593359247062949	0.6723949689999074
50	0.654554596935837	0.6651550952476878
